,Papel,Tipo,Empresa,Setor,Subsetor,Cotação,Data últ cot,Min 52 sem,Max 52 sem,Vol $ méd (2m),Valor de mercado,Valor da firma,Últ balanço processado,Nro. Ações,P/L,P/VP,P/EBIT,PSR,P/Ativos,P/Cap. Giro,P/Ativ Circ Liq,Div. Yield,EV / EBITDA,EV / EBIT,Cres. Rec (5a),LPA,VPA,Marg. Bruta,Marg. EBIT,Marg. Líquida,EBIT / Ativo,ROIC,ROE,Liquidez Corr,Div Br/ Patrim,Giro Ativos,Ativo,Disponibilidades,Ativo Circulante,Dív. Bruta,Dív. Líquida,Patrim. Líq,Cart. de Crédito,Depósitos
46,BGIP3,ON,BANESE ON,Intermediários Financeiros,Bancos,36.13,28/05/2021,35.80,49.15,12507,552247000,0,31/03/2021,15285000,8.96,1.08,0,0,0,0,0,"2,7%",0,0,"9,2%",4.03,33.30,0,0,"0,0%","0,0%",0,"12,1%",0,0,0,7061080000,0,0,0,0,509054000,2590710000,5830030000
47,BGIP4,PN,BANESE PN,Intermediários Financeiros,Bancos,23.19,28/05/2021,21.90,32.33,30287,354459000,0,31/03/2021,15285000,5.75,0.70,0,0,0,0,0,"4,7%",0,0,"9,2%",4.03,33.30,0,0,"0,0%","0,0%",0,"12,1%",0,0,0,7061080000,0,0,0,0,509054000,2590710000,5830030000
48,BIDI11,UNT N2,BANCO INTER UNT N2,Intermediários Financeiros,Bancos,66.80,28/05/2021,10.58,77.27,330888000,51064900000,0,31/03/2021,2293330000,2910.34,15.76,0,0,0,0,0,"0,1%",0,0,"30,9%",0.02,4.24,0,0,"0,0%","0,0%",0,"0,5%",0,0,0,21202400000,0,0,0,0,3240140000,6954910000,13463500000
49,BIDI3,ON N2,BANCO INTER ON N2,Intermediários Financeiros,Bancos,22.25,28/05/2021,3.03,25.34,23238500,51026700000,0,31/03/2021,2293330000,2908.17,15.75,0,0,0,0,0,"0,1%",0,0,"30,9%",0.01,1.41,0,0,"0,0%","0,0%",0,"0,5%",0,0,0,21202400000,0,0,0,0,3240140000,6954910000,13463500000
50,BIDI4,PN N2,BANCO INTER PN N2,Intermediários Financeiros,Bancos,22.26,28/05/2021,3.78,25.96,191261000,51049600000,0,31/03/2021,2293330000,2909.47,15.76,0,0,0,0,0,"0,1%",0,0,"30,9%",0.01,1.41,0,0,"0,0%","0,0%",0,"0,5%",0,0,0,21202400000,0,0,0,0,3240140000,6954910000,13463500000
51,BIOM3,ON,BIOMM SA ON,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,16.10,28/05/2021,14.75,23.60,368464,1090230000,1184580000,31/03/2021,67716000,-15.42,6.33,-19.79,17.29,2.59,9.17,-13.05,"0,0%",-21.54,-21.50,"648,2%",-1.04,2.54,"21,7%","-87,4%","-112,1%","-13,1%","-17,7%","-41,0%",3.56,1.08,0.15,420942000,92089000,165180000,186443000,94354000,172231000,0,0
52,BKBR3,ON NM,BK BRASIL ON NM,Hoteis e Restaurantes,Restaurante e Similares,10.76,28/05/2021,8.39,14.06,26403500,2962820000,3173680000,31/03/2021,275355000,-5.36,1.76,-6.70,1.38,0.81,7.64,-2.62,"0,0%",-31.31,-7.18,"5,4%",-2.01,6.10,"59,0%","-20,6%","-25,7%","-12,0%","-15,1%","-32,9%",1.80,0.49,0.58,3679060000,615555000,870165000,826419000,210864000,1678940000,0,0
53,BMEB3,ON,BANCO MERCANTIL DO BRASIL S/A ON,Intermediários Financeiros,Bancos,19.10,28/05/2021,12.16,20.27,7214,1001150000,0,31/03/2021,52416000,6.44,0.96,0,0,0,0,0,"4,1%",0,0,"12,1%",2.96,19.82,0,0,"0,0%","0,0%",0,"15,0%",0,0,0,10720100000,0,0,0,0,1038950000,6025760000,8005910000
54,BMEB4,PN,BANCO MERCANTIL DO BRASIL S/A PN,Intermediários Financeiros,Bancos,18.99,28/05/2021,11.15,19.14,111688,995380000,0,31/03/2021,52416000,6.41,0.96,0,0,0,0,0,"4,5%",0,0,"12,1%",2.96,19.82,0,0,"0,0%","0,0%",0,"15,0%",0,0,0,10720100000,0,0,0,0,1038950000,6025760000,8005910000
55,BMGB4,PN N1,BANCO BMG PN N1,Intermediários Financeiros,Bancos,4.82,28/05/2021,4.20,6.23,8490800,2811180000,0,31/03/2021,583232000,8.28,0.70,0,0,0,0,0,"3,8%",0,0,0,0.58,6.93,0,0,"0,0%","0,0%",0,"8,4%",0,0,0,31577700000,0,0,0,0,4043590000,11883900000,15991900000
56,BMIN3,ON,BANCO MERCANTIL DE INVESTIMENTOS SA ON,Intermediários Financeiros,Bancos,26.16,28/05/2021,17.70,27.67,20186,126222000,0,31/03/2021,4825000,60.22,1.01,0,0,0,0,0,"0,0%",0,0,"-23,9%",0.43,25.91,0,0,"0,0%","0,0%",0,"1,7%",0,0,0,203154000,0,0,0,0,125015000,71624000,49613000
57,BMIN4,PN,BANCO MERCANTIL DE INVESTIMENTOS SA PN,Intermediários Financeiros,Bancos,25.19,28/05/2021,15.84,25.39,18589,121542000,0,31/03/2021,4825000,57.99,0.97,0,0,0,0,0,"5,6%",0,0,"-23,9%",0.43,25.91,0,0,"0,0%","0,0%",0,"1,7%",0,0,0,203154000,0,0,0,0,125015000,71624000,49613000
58,BMKS3,ON,MONARK ON,Viagens e Lazer,Bicicletas,248.20,28/05/2021,177.98,287.29,21470,112869000,-31462100,31/03/2021,454750,34.55,0.60,-55.06,5.02,0.53,0.71,0.80,"3,2%",135.03,15.35,"6,2%",7.18,412.22,"32,6%","-9,1%","14,5%","-1,0%","-3,3%","1,7%",31.35,0.02,0.11,211468000,148292000,164801000,3961000,-144331000,187458000,0,0
59,BMOB3,ON NM,BEMOBI TECH ON NM,Programas e Serviços,Programas e Serviços,23.25,28/05/2021,17.53,26.61,24104900,2113640000,942376000,31/03/2021,90909100,53.24,2.03,31.55,10.77,1.38,2.67,2.68,"0,0%",10.36,14.07,0,0.44,11.46,"57,2%","34,1%","20,2%","4,4%","20,3%","3,8%",2.62,0,0.13,1532210000,1171260000,1279530000,0,-1171260000,1041940000,0,0
60,BNBR3,ON,BANCO DO NORDESTE ON,Intermediários Financeiros,Bancos,69.00,27/05/2021,59.90,91.25,13411,5959600000,0,31/03/2021,86371000,5.58,0.91,0,0,0,0,0,"4,1%",0,0,"18,9%",12.37,75.66,0,0,"0,0%","0,0%",0,"16,3%",0,0,0,61804600000,0,0,0,0,6534870000,12068800000,13996900000
61,BOAS3,ON NM,BOA VISTA ON NM,Serviços Financeiros Diversos,Serviços Financeiros Diversos,10.01,28/05/2021,9.20,14.41,13417900,5290840000,4144990000,31/03/2021,528556000,118.02,2.91,47.66,8.38,2.18,4.23,6.33,"0,2%",15.15,37.34,"-6,2%",0.08,3.43,"43,3%","17,6%","7,1%","4,6%","10,2%","2,5%",7.46,0.08,0.26,2424690000,1296860000,1444960000,151006000,-1145860000,1815350000,0,0
62,BOBR4,PN,BOMBRIL SA PN,Produtos de Uso Pessoal e de Limpeza,Produtos de Limpeza,2.33,28/05/2021,1.63,2.66,445437,606988000,890091000,31/03/2021,260510000,-46.92,-2.24,8.35,0.55,0.94,-2.69,-0.91,"0,0%",9.34,12.24,"0,8%",-0.05,-1.04,"34,8%","6,5%","-1,2%","11,2%","14,7%","4,8%",0.53,-1.08,1.72,647833000,10528000,252569000,293631000,283103000,-271457000,0,0
63,BPAC11,UNT,BTGP BANCO UNT,Intermediários Financeiros,Bancos,122.94,28/05/2021,48.27,123.00,428311000,114582000000,0,31/03/2021,2796040000,23.57,3.77,0,0,0,0,0,"1,0%",0,0,"-1,2%",5.22,32.63,0,0,"0,0%","0,0%",0,"16,0%",0,0,0,301281000000,0,0,0,0,30414300000,45387200000,64440200000
64,BPAC3,ON,BTGP BANCO ON,Intermediários Financeiros,Bancos,69.75,28/05/2021,23.00,69.75,331782,195024000000,0,31/03/2021,2796040000,40.12,6.41,0,0,0,0,0,"0,6%",0,0,"-1,2%",1.74,10.88,0,0,"0,0%","0,0%",0,"16,0%",0,0,0,301281000000,0,0,0,0,30414300000,45387200000,64440200000
65,BPAC5,PNA,BTGP BANCO PNA,Intermediários Financeiros,Bancos,26.90,28/05/2021,14.28,35.39,208281,75213500000,0,31/03/2021,2796040000,15.47,2.47,0,0,0,0,0,"1,5%",0,0,"-1,2%",1.74,10.88,0,0,"0,0%","0,0%",0,"16,0%",0,0,0,301281000000,0,0,0,0,30414300000,45387200000,64440200000
66,BPAN4,PN,BANCO PAN PN,Intermediários Financeiros,Bancos,22.64,28/05/2021,5.49,23.47,121194000,27282500000,0,31/03/2021,1205060000,40.40,5.02,0,0,0,0,0,"0,9%",0,0,"13,0%",0.56,4.51,0,0,"0,0%","0,0%",0,"12,4%",0,0,0,39159500000,0,0,0,0,5434150000,28026900000,22773700000
67,BRAP3,ON N1,BRADESPAR S/A ON N1,Mineração,Minerais Metálicos,60.53,28/05/2021,28.86,66.20,3283090,21066500000,19824800000,31/03/2021,348034000,6.76,1.73,-1032.77,0,1.58,198.34,214.15,"8,2%",-971.90,-971.90,0,8.95,34.95,0,0,"0,0%","-0,2%","-0,2%","25,6%",1.09,0,0,13367000000,1241720000,1301210000,0,-1241720000,12164200000,0,0
68,BRAP4,PN N1,BRADESPAR S/A PN N1,Mineração,Minerais Metálicos,69.92,28/05/2021,32.20,76.13,190345000,24334500000,23092800000,31/03/2021,348034000,7.81,2.00,-1192.99,0,1.82,229.11,247.37,"7,8%",-1132.11,-1132.11,0,8.95,34.95,0,0,"0,0%","-0,2%","-0,2%","25,6%",1.09,0,0,13367000000,1241720000,1301210000,0,-1241720000,12164200000,0,0
69,BRDT3,ON NM,PETROBRAS BR ON NM,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",25.57,28/05/2021,17.57,25.63,199343000,29789000000,35744000000,31/03/2021,1165000000,7.16,2.35,11.80,0.34,1.02,2.98,-15.94,"9,7%",11.66,14.16,"-0,6%",3.57,10.90,"6,2%","2,9%","4,8%","8,6%","10,6%","32,8%",3.13,0.78,2.95,29259000000,3893000000,14690000000,9848000000,5955000000,12700000000,0,0
70,BRFS3,ON NM,BRF Foods ON NM,Alimentos Processados,Carnes e Derivados,25.75,28/05/2021,16.78,26.93,259975000,20921200000,35977300000,31/03/2021,812473000,14.39,2.52,7.24,0.51,0.41,2.54,-1.12,"0,0%",6.70,12.45,"4,6%",1.79,10.22,"22,9%","7,0%","3,5%","5,6%","9,3%","17,5%",1.51,2.90,0.80,51415200000,8981100000,24321900000,24037200000,15056100000,8299810000,0,0
71,BRGE11,PNE,CONSORCIO ALFA PNE,Previdência e Seguros,Seguradoras,9.45,28/05/2021,8.51,19.13,1359,695955000,-889532000,31/03/2021,73646000,20.59,0.56,-1.73,35.43,0.23,0.54,1.15,"3,8%",2.22,2.21,"-6,2%",0.46,16.86,"-431,4%","-2.046,0%","251,4%","-13,2%","-27,3%","2,7%",3.40,0,0.01,3055960000,1585490000,1842630000,0,-1585490000,1241560000,0,0
72,BRGE12,PNF,CONSORCIO ALFA PNF,Previdência e Seguros,Seguradoras,6.48,28/05/2021,5.87,8.10,3599,477226000,-1108260000,31/03/2021,73646000,14.12,0.38,-1.19,24.30,0.16,0.37,0.79,"0,0%",2.77,2.76,"-6,2%",0.46,16.86,"-431,4%","-2.046,0%","251,4%","-13,2%","-27,3%","2,7%",3.40,0,0.01,3055960000,1585490000,1842630000,0,-1585490000,1241560000,0,0
73,BRGE3,ON,CONSORCIO ALFA ON,Previdência e Seguros,Seguradoras,9.66,28/05/2021,7.80,15.93,9042,711420000,-874067000,31/03/2021,73646000,21.05,0.57,-1.77,36.22,0.23,0.55,1.17,"0,0%",2.18,2.17,"-6,2%",0.46,16.86,"-431,4%","-2.046,0%","251,4%","-13,2%","-27,3%","2,7%",3.40,0,0.01,3055960000,1585490000,1842630000,0,-1585490000,1241560000,0,0
74,BRGE5,PNA,CONSORCIO ALFA PNA,Previdência e Seguros,Seguradoras,10.15,07/05/2021,10.15,27.89,524,747507000,-837980000,31/03/2021,73646000,22.11,0.60,-1.86,38.06,0.24,0.57,1.23,"0,0%",2.09,2.09,"-6,2%",0.46,16.86,"-431,4%","-2.046,0%","251,4%","-13,2%","-27,3%","2,7%",3.40,0,0.01,3055960000,1585490000,1842630000,0,-1585490000,1241560000,0,0
75,BRGE6,PNB,CONSORCIO ALFA PNB,Previdência e Seguros,Seguradoras,13.35,18/05/2021,11.14,43.55,260,983174000,-602313000,31/03/2021,73646000,29.09,0.79,-2.45,50.05,0.32,0.76,1.62,"5,4%",1.50,1.50,"-6,2%",0.46,16.86,"-431,4%","-2.046,0%","251,4%","-13,2%","-27,3%","2,7%",3.40,0,0.01,3055960000,1585490000,1842630000,0,-1585490000,1241560000,0,0
76,BRGE8,PND,CONSORCIO ALFA PND,Previdência e Seguros,Seguradoras,10.00,27/05/2021,5.99,12.76,1489,736460000,-849027000,31/03/2021,73646000,21.79,0.59,-1.83,37.49,0.24,0.57,1.21,"3,0%",2.12,2.11,"-6,2%",0.46,16.86,"-431,4%","-2.046,0%","251,4%","-13,2%","-27,3%","2,7%",3.40,0,0.01,3055960000,1585490000,1842630000,0,-1585490000,1241560000,0,0
77,BRIV3,ON,ALFA DE INVESTIMENTO ON,Intermediários Financeiros,Bancos,10.65,28/05/2021,7.08,16.00,23833,943601000,0,31/03/2021,88601000,11.98,0.61,0,0,0,0,0,"0,0%",0,0,"32,3%",0.89,17.46,0,0,"0,0%","0,0%",0,"5,1%",0,0,0,17066700000,0,0,0,0,1546650000,3591280000,0
78,BRIV4,PN,ALFA DE INVESTIMENTO PN,Intermediários Financeiros,Bancos,8.51,28/05/2021,6.34,10.75,21459,753994000,0,31/03/2021,88601000,9.57,0.49,0,0,0,0,0,"6,8%",0,0,"32,3%",0.89,17.46,0,0,"0,0%","0,0%",0,"5,1%",0,0,0,17066700000,0,0,0,0,1546650000,3591280000,0
79,BRKM3,ON N1,BRASKEM ON N1,Químicos,Petroquímicos,51.15,28/05/2021,19.81,55.50,1655750,40777800000,66542100000,31/03/2021,797219000,-74.34,94.79,3.10,0.59,0.43,6.51,-0.73,"0,0%",3.88,5.06,"7,8%",-0.69,0.54,"25,2%","19,2%","-0,8%","14,0%","20,6%","-127,5%",1.19,97.94,0.73,94070300000,16371900000,39694300000,42136300000,25764400000,430211000,0,0
80,BRKM5,PNA N1,BRASKEM PNA N1,Químicos,Petroquímicos,51.74,28/05/2021,19.82,56.39,225048000,41248100000,67012500000,31/03/2021,797219000,-75.20,95.88,3.13,0.60,0.44,6.58,-0.74,"0,0%",3.90,5.09,"7,8%",-0.69,0.54,"25,2%","19,2%","-0,8%","14,0%","20,6%","-127,5%",1.19,97.94,0.73,94070300000,16371900000,39694300000,42136300000,25764400000,430211000,0,0
81,BRKM6,PNB N1,BRASKEM PNB N1,Químicos,Petroquímicos,43.40,28/05/2021,17.60,43.40,9787,34599300000,60363700000,31/03/2021,797219000,-63.08,80.42,2.63,0.50,0.37,5.52,-0.62,"0,0%",3.52,4.59,"7,8%",-0.69,0.54,"25,2%","19,2%","-0,8%","14,0%","20,6%","-127,5%",1.19,97.94,0.73,94070300000,16371900000,39694300000,42136300000,25764400000,430211000,0,0
82,BRML3,ON,BR MALLS PARTICIPAÇÔES S/A ON,Exploração de Imóveis,Exploração de Imóveis,11.30,28/05/2021,7.91,11.76,166280000,9866500000,12217900000,31/03/2021,873141000,-27.72,0.91,21.26,11.45,0.50,5.56,-1.63,"0,0%",24.43,26.32,"-7,6%",-0.41,12.37,"87,6%","53,8%","-46,6%","2,4%","2,6%","-3,3%",4.70,0.39,0.04,19615300000,1879170000,2252180000,4230600000,2351430000,10802900000,0,0
83,BRPR3,ON NM,BR PROPERTIES ON NM,Exploração de Imóveis,Exploração de Imóveis,9.47,28/05/2021,7.76,10.61,13835900,4654600000,6470860000,31/03/2021,491510000,22.67,0.64,20.96,14.55,0.42,7.76,-1.68,"2,1%",29.02,29.14,"-8,3%",0.42,14.82,"100,0%","69,4%","64,2%","2,0%","2,2%","2,8%",2.44,0.36,0.03,11067300000,813484000,1017260000,2629740000,1816260000,7285270000,0,0
84,BRSR3,ON,BANRISUL S/A ON,Intermediários Financeiros,Bancos,14.75,28/05/2021,12.49,18.07,183791,6032370000,0,31/03/2021,408974000,8.06,0.70,0,0,0,0,0,"4,7%",0,0,"10,2%",1.83,20.98,0,0,"0,0%","0,0%",0,"8,7%",0,0,0,95410700000,0,0,0,0,8579010000,0,0
85,BRSR5,PNA,BANRISUL S/A PNA,Intermediários Financeiros,Bancos,18.59,26/05/2021,16.26,23.63,14969,7602830000,0,31/03/2021,408974000,10.15,0.89,0,0,0,0,0,"5,1%",0,0,"10,2%",1.83,20.98,0,0,"0,0%","0,0%",0,"8,7%",0,0,0,95410700000,0,0,0,0,8579010000,0,0
86,BRSR6,PNB,BANRISUL S/A PNB,Intermediários Financeiros,Bancos,13.40,28/05/2021,11.32,14.85,25300300,5480250000,0,31/03/2021,408974000,7.32,0.64,0,0,0,0,0,"5,2%",0,0,"10,2%",1.83,20.98,0,0,"0,0%","0,0%",0,"8,7%",0,0,0,95410700000,0,0,0,0,8579010000,0,0
